msoa11cd,geometry
E02003815,POINT (386965.7165722035 363302.4430208619)
E02004004,POINT (297589.3966337281 516105.8101332795)
E02003812,POINT (376074.3286566052 367120.277840779)
E02004005,POINT (300648.4438830625 511061.0248270561)
E02003813,POINT (370022.2292729297 365948.9610792705)
E02004002,POINT (298710.0661561237 517504.0293224079)
E02003891,POINT (355840.201898107 363140.937706375)
E02004003,POINT (302227.1863487089 515430.5565540096)
E02003811,POINT (377415.1222498716 368976.9233443237)
E02003890,POINT (364827.9991664152 364992.300752673)
E02004000,POINT (299414.1078373929 521484.8587388023)
E02004001,POINT (297656.4264136764 518087.0770408429)
E02003818,POINT (387231.3659009882 362035.8373708655)
E02003819,POINT (375362.5531650386 361359.0500651331)
E02004009,POINT (347655.9300510779 540066.4835299155)
E02001366,POINT (338232.1551604238 392617.0166777389)
E02001367,POINT (340194.5858256618 392644.5450438741)
E02001364,POINT (336127.2850391942 392923.022092097)
E02001365,POINT (336957.3609009148 392758.2207134322)
E02001362,POINT (338946.4005612223 393387.7100420535)
E02001363,POINT (341833.5690404303 393022.2889848623)
E02001360,POINT (335061.6139220516 393744.3126525138)
E02001361,POINT (337200.6634128805 393528.6384794603)
E02001368,POINT (334566.9599704439 392255.3297783802)
E02001369,POINT (335582.2029820836 391970.3435005414)
E02005306,POINT (337636.1301506727 412381.9890329433)
E02005307,POINT (344291.3217076823 411652.6029211386)
E02005304,POINT (344687.5796513959 422245.734833105)
E02005305,POINT (339823.780330986 420153.4399414914)
E02005302,POINT (354959.2739641704 421619.6076619404)
E02005303,POINT (352667.9346579546 421545.8791639355)
E02005300,POINT (351594.3441822887 422083.075649159)
E02005301,POINT (353353.8788147348 422177.5613652521)
E02005308,POINT (350092.8907537947 410963.6611492386)
E02005256,POINT (355289.4288198961 432752.341635787)
E02005257,POINT (351049.0497381186 432231.1873785132)
E02005254,POINT (351683.068759046 434776.6999665746)
E02005255,POINT (353034.8207750266 433169.0949664467)
E02005252,POINT (384898.1886044674 436281.0485511138)
E02005253,POINT (357518.0130923439 435812.2997721485)
E02005250,POINT (385685.9803740027 437454.799180302)
E02005251,POINT (387070.0251189969 437471.5212604218)
E02001206,POINT (395275.1271629722 388784.7392674495)
E02001287,POINT (355586.1150132281 410636.0844547141)
E02001207,POINT (392831.521668982 388444.0500524789)
E02001286,POINT (379057.5209451105 385984.9558783934)
E02001204,POINT (387758.6110575708 389351.0517553306)
E02001285,POINT (376231.4529359544 386632.4563191066)
E02001205,POINT (390548.6960127773 389308.6055281488)
E02001284,POINT (377680.4143097143 386963.4831242368)
E02001202,POINT (388735.3614408012 389544.6265358847)
E02001283,POINT (375793.9821867874 388171.4199203777)
E02001203,POINT (396879.8001890098 389600.5976758949)
E02001282,POINT (377033.5395435846 388607.1136705255)
E02001200,POINT (389848.5297811675 390387.0811793857)
E02001281,POINT (378265.415058732 388707.0205209617)
E02005258,POINT (353513.5970348655 431810.2475221449)
E02001201,POINT (391070.4949656629 389865.405662888)
E02001280,POINT (379429.7709786598 388707.3538096031)
E02005259,POINT (355750.6301701138 431627.3997837299)
E02001208,POINT (386951.6362571713 388516.7901350191)
E02001289,POINT (354216.7829829847 408713.4167134329)
E02001209,POINT (389510.0032289375 388642.3622333253)
E02001288,POINT (356623.5141521053 409917.214678079)
E02002587,POINT (355720.3943148243 380786.5877218152)
E02002586,POINT (352834.7614987336 381590.9270016587)
E02002585,POINT (350869.3763676266 382353.8201834545)
E02002584,POINT (352150.189633735 382372.6105540504)
E02002583,POINT (354351.3540130522 382426.9209094198)
E02002582,POINT (355865.8741732072 382415.3464133557)
E02002581,POINT (348560.2735510637 384594.6878714318)
E02002580,POINT (351418.7354414265 385531.1346049045)
E02002589,POINT (352805.9347977474 380452.8474126691)
E02002588,POINT (354391.9705048951 380786.8886218348)
E02001466,POINT (335013.364478295 395107.5490314213)
E02001467,POINT (330711.879212863 393729.365878382)
E02001464,POINT (333949.9388026839 396310.5285043275)
E02001465,POINT (334111.6916581923 395265.083599427)
E02001462,POINT (333392.4634768051 396754.5283414173)
E02001463,POINT (335160.9212405027 396671.1423645868)
E02001460,POINT (332645.3770064966 397530.7710448321)
E02001461,POINT (334617.4125201246 397627.4907340143)
E02001468,POINT (331107.1646148824 392807.4414724185)
E02001469,POINT (329290.2273932057 392597.6532323299)
E02002606,POINT (361383.3645172897 388284.2273608485)
E02002607,POINT (360146.3642733964 387894.2352921347)
E02002604,POINT (356201.4418257279 388787.4708706706)
E02002605,POINT (358019.1889088421 388222.6603250237)
E02002602,POINT (359667.3837577307 389465.3599428372)
E02002603,POINT (364795.1052159634 389287.8236402093)
E02002600,POINT (361441.6749670189 389608.0411994878)
E02002601,POINT (362906.2151912855 389529.0584845207)
E02002608,POINT (356398.9492201501 387670.5633374692)
E02002609,POINT (362794.735601103 387522.8390142555)
E02006934,POINT (334137.6063747699 390913.9133647058)
E02006932,POINT (335140.9547640833 390398.1762835758)
E02001116,POINT (394356.4529139855 404878.7051563569)
E02001197,POINT (388102.4844928505 390843.7919206305)
E02006933,POINT (334635.6470340895 389404.2471346727)
E02001117,POINT (399754.7072388998 404629.9164898851)
E02001196,POINT (394755.0406765594 390975.8205377907)
E02001114,POINT (390474.2647807323 405310.7436427801)
E02001195,POINT (392383.5016107244 391524.6028258933)
E02001115,POINT (395638.0364973252 405101.4148402186)
E02001194,POINT (387331.1980747965 391588.3256292915)
E02001112,POINT (389337.0898702414 405635.5390724792)
E02001193,POINT (389289.1648913094 391588.449613636)
E02001113,POINT (391620.5881719439 405512.7904985762)
E02001192,POINT (388253.2797220463 392238.5352412267)
E02001110,POINT (398284.5756314163 405959.2472373927)
E02001191,POINT (393849.1273632659 392300.8488461789)
E02001111,POINT (392596.9894039583 405702.0192581746)
E02001190,POINT (391142.3616646896 392514.9384970125)
E02001118,POINT (396439.9863948016 404581.2236876027)
E02001199,POINT (386807.6906341906 390750.1668298305)
E02001119,POINT (393580.9085376209 404404.8812103377)
E02001198,POINT (393142.3817719995 390823.819467189)
E02001026,POINT (381309.8907596433 410962.5341539092)
E02001027,POINT (379211.1820896794 411074.6031152957)
E02001024,POINT (378096.5432842163 412166.3299967268)
E02001025,POINT (382150.4553866407 411514.5069342465)
E02001022,POINT (380708.2444100194 412810.4069799061)
E02001023,POINT (379456.2253716119 412370.8823578808)
E02001020,POINT (378121.5783053049 414731.3129641133)
E02001021,POINT (377802.9788161117 413884.9444092266)
E02001028,POINT (378196.3462287094 410433.5138634027)
E02004016,POINT (341526.7677696417 497730.2045345021)
E02001029,POINT (380574.2345587289 409824.8416275301)
E02004017,POINT (351829.5075552633 493624.5929590889)
E02004012,POINT (345808.3746396928 526700.2880822982)
E02004010,POINT (351465.9207108939 530033.5899161983)
E02004018,POINT (351259.860925926 492594.2788145797)
E02004019,POINT (352781.8715118869 492199.7673551993)
E02001376,POINT (336955.1466901622 391123.7639137837)
E02001377,POINT (336394.0763931497 390333.8938986506)
E02001374,POINT (337655.8418133101 391289.4667774934)
E02001375,POINT (339693.4658678008 391268.425172181)
E02001372,POINT (341053.3321199972 391752.202387707)
E02001373,POINT (339039.6047891219 391529.5007313498)
E02001370,POINT (336709.8241637796 391970.0548471141)
E02001371,POINT (342070.2792155839 391742.5264131948)
E02001378,POINT (339354.7786703315 390181.5983094981)
