index,Distance in meter,origin_id,destination_id
614,12793.6,E02002761,5497
615,13431.4,E02002761,5500
616,12476,E02002761,5503
617,12860.7,E02002761,5504
618,10675.6,E02002761,5506
619,6946.8,E02002761,5513
620,10809.7,E02002761,5520
621,11690.8,E02002761,6366
622,11200.9,E02002761,6463
623,13894.7,E02002761,6504
624,12093.9,E02002761,6713
625,14622,E02002761,7902
626,13150.6,E02002761,7930
627,10851.6,E02002761,8385
628,13580.2,E02002761,8561
629,14640.9,E02002761,8987
630,12456.3,E02002761,9074
631,14222,E02002761,10116
632,13363.5,E02002761,10172
633,12327.8,E02002761,10504
634,12562.8,E02002761,10521
635,12860.7,E02002761,10707
636,15119.4,E02002761,11019
637,8815.1,E02002761,11121
638,638.3,E02002761,11234
639,11683.9,E02002761,11442
640,14198.7,E02002761,12361
641,11213.7,E02002761,12420
642,13418.2,E02002761,12784
643,13153.2,E02002761,12837
644,9252.4,E02002761,13450
645,13146.7,E02002761,13659
646,7673,E02002761,14174
647,14215.3,E02002761,14210
648,6748.3,E02002761,14238
649,14777.6,E02002761,14973
650,7448.3,E02002761,15013
651,13511.8,E02002761,15645
652,12717.8,E02002761,15987
653,13536.7,E02002761,16223
654,10235,E02002761,18398
655,14997.7,E02002761,19454
656,12531.9,E02002761,20022
657,510.8,E02002762,350
658,1081.7,E02002762,369
659,415.8,E02002762,2936
660,11038.7,E02002762,4149
661,2113.7,E02002762,4418
662,4786,E02002762,4834
663,12719.9,E02002762,5058
664,3033.6,E02002762,5276
665,2234.4,E02002762,5497
666,2742.8,E02002762,5500
667,1787.4,E02002762,5503
668,2301.5,E02002762,5504
669,907.2,E02002762,5506
670,12844.2,E02002762,5513
671,774.9,E02002762,5520
672,1943.8,E02002762,6366
673,512.3,E02002762,6463
674,14598.9,E02002762,6504
675,3239,E02002762,6713
676,15326.2,E02002762,7902
677,2950.7,E02002762,7930
678,1083.3,E02002762,8385
679,3021,E02002762,8561
680,4081.8,E02002762,8987
681,2535.3,E02002762,9074
682,3662.8,E02002762,10116
683,2674.8,E02002762,10172
684,9250.9,E02002762,10382
685,11038.7,E02002762,10504
686,2003.6,E02002762,10521
687,2301.5,E02002762,10707
688,4560.3,E02002762,11019
689,3582.4,E02002762,11121
690,10673.5,E02002762,11234
691,1936.9,E02002762,11442
692,3639.5,E02002762,12361
693,340.8,E02002762,12420
694,2859.1,E02002762,12784
695,2594,E02002762,12837
696,3842.6,E02002762,13450
697,2587.5,E02002762,13659
698,13570.4,E02002762,14174
699,2830,E02002762,14210
700,12645.6,E02002762,14238
701,4218.4,E02002762,14973
702,13345.6,E02002762,15013
703,2952.6,E02002762,15645
704,2158.7,E02002762,15987
705,2977.6,E02002762,16223
706,1630.2,E02002762,18398
707,4438.6,E02002762,19454
708,2517,E02002762,20022
709,8766.6,E02002762,21054
710,1660.6,E02002763,350
711,1311.2,E02002763,369
712,2431.4,E02002763,2936
713,11620.7,E02002763,4149
714,4129.4,E02002763,4418
715,5935.8,E02002763,4834
716,11082.6,E02002763,5058
717,4402.3,E02002763,5276
718,4250.1,E02002763,5497
719,3892.6,E02002763,5500
720,2937.2,E02002763,5503
721,4317.2,E02002763,5504
722,1136.7,E02002763,5506
723,11206.9,E02002763,5513
724,1270.9,E02002763,5520
725,2215.4,E02002763,6366
726,1662,E02002763,6463
727,12961.6,E02002763,6504
728,3805.1,E02002763,6713
729,13688.9,E02002763,7902
730,4966.4,E02002763,7930
731,1312.8,E02002763,8385
732,5036.7,E02002763,8561
733,6097.5,E02002763,8987
734,4551,E02002763,9074
735,5678.5,E02002763,10116
736,3824.6,E02002763,10172
737,10400.7,E02002763,10382
738,11620.7,E02002763,10504
739,4019.3,E02002763,10521
740,4317.2,E02002763,10707
741,6575.9,E02002763,11019
742,1945.1,E02002763,11121
743,9036.2,E02002763,11234
744,2208.5,E02002763,11442
745,5655.2,E02002763,12361
746,1674.9,E02002763,12420
747,4874.8,E02002763,12784
748,4609.7,E02002763,12837
749,2205.3,E02002763,13450
750,4603.2,E02002763,13659
751,11933.1,E02002763,14174
752,4845.7,E02002763,14210
753,11008.4,E02002763,14238
754,6234.1,E02002763,14973
755,11708.3,E02002763,15013
756,4968.3,E02002763,15645
757,4174.3,E02002763,15987
758,4993.2,E02002763,16223
759,696.1,E02002763,18398
760,6454.3,E02002763,19454
761,4532.7,E02002763,20022
762,9916.4,E02002763,21054
763,1816.3,E02002764,350
764,2387.3,E02002764,369
765,2587.2,E02002764,2936
766,13210.2,E02002764,4149
767,4285.1,E02002764,4418
768,5752.4,E02002764,4834
769,15971.3,E02002764,4845
770,14025.5,E02002764,5058
771,5205.1,E02002764,5276
772,4405.9,E02002764,5497
773,1060.7,E02002764,5500
774,1490.8,E02002764,5503
775,4473,E02002764,5504
776,2212.8,E02002764,5506
777,14149.7,E02002764,5513
778,2080.4,E02002764,5520
779,2910.2,E02002764,6366
780,1817.8,E02002764,6463
781,15904.5,E02002764,6504
782,5410.5,E02002764,6713
783,5122.2,E02002764,7930
784,2388.8,E02002764,8385
785,5192.5,E02002764,8561
786,3510,E02002764,8987
787,4706.8,E02002764,9074
788,3091.1,E02002764,10116
789,503.4,E02002764,10172
790,8902.8,E02002764,10382
791,13210.2,E02002764,10504
792,4175.1,E02002764,10521
793,4473,E02002764,10707
794,3988.5,E02002764,11019
795,4887.9,E02002764,11121
796,11979.1,E02002764,11234
797,2903.3,E02002764,11442
798,3067.7,E02002764,12361
799,1830.6,E02002764,12420
800,5030.5,E02002764,12784
801,4765.4,E02002764,12837
802,5148.1,E02002764,13450
803,4759,E02002764,13659
804,14875.9,E02002764,14174
805,1816.3,E02002764,14210
806,13951.2,E02002764,14238
807,3646.6,E02002764,14973
808,14651.2,E02002764,15013
809,16081.4,E02002764,15308
810,5124.1,E02002764,15645
811,4330.1,E02002764,15987
812,5149,E02002764,16223
813,2935.7,E02002764,18398
814,3866.8,E02002764,19454
815,4688.4,E02002764,20022
816,8418.5,E02002764,21054
817,658.3,E02002765,350
818,1229.2,E02002765,369
819,1429.2,E02002765,2936
820,12052.1,E02002765,4149
821,3127.1,E02002765,4418
822,3792.9,E02002765,4834
823,12867.4,E02002765,5058
824,4047,E02002765,5276
825,3247.8,E02002765,5497
826,2551.2,E02002765,5500
827,748.3,E02002765,5503
828,3314.9,E02002765,5504
829,1054.7,E02002765,5506
830,12991.7,E02002765,5513
831,922.4,E02002765,5520
832,950.8,E02002765,6366
833,659.8,E02002765,6463
834,12787.9,E02002765,6504
835,4252.4,E02002765,6713
836,13515.2,E02002765,7902
837,3964.1,E02002765,7930
838,1230.8,E02002765,8385
839,4034.4,E02002765,8561
840,5095.2,E02002765,8987
841,3548.8,E02002765,9074
842,4676.2,E02002765,10116
843,2483.2,E02002765,10172
844,8257.9,E02002765,10382
845,12052.1,E02002765,10504
846,3017.1,E02002765,10521
847,3314.9,E02002765,10707
848,5573.7,E02002765,11019
849,3729.9,E02002765,11121
850,10821,E02002765,11234
851,943.9,E02002765,11442
852,4652.9,E02002765,12361
853,672.6,E02002765,12420
854,3872.5,E02002765,12784
855,3607.4,E02002765,12837
856,3990.1,E02002765,13450
857,3600.9,E02002765,13659
858,13717.9,E02002765,14174
859,3843.4,E02002765,14210
860,12793.2,E02002765,14238
861,5231.8,E02002765,14973
862,13493.1,E02002765,15013
863,3966,E02002765,15645
864,3172.1,E02002765,15987
865,3991,E02002765,16223
866,1777.7,E02002765,18398
867,5452,E02002765,19454
868,3530.4,E02002765,20022
869,7773.6,E02002765,21054
870,2495.4,E02002766,350
871,2384.8,E02002766,369
872,3266.3,E02002766,2936
873,12630.8,E02002766,4149
874,4964.2,E02002766,4418
875,4648.3,E02002766,4834
876,12092.8,E02002766,5058
877,5412.4,E02002766,5276
878,5085,E02002766,5497
879,4388.3,E02002766,5500
880,2308.7,E02002766,5503
881,5152.1,E02002766,5504
882,2210.4,E02002766,5506
883,12217,E02002766,5513
884,2344.5,E02002766,5520
885,1177,E02002766,6366
886,2496.9,E02002766,6463
887,13971.8,E02002766,6504
888,4815.2,E02002766,6713
889,14699,E02002766,7902
890,5801.3,E02002766,7930
891,2386.4,E02002766,8385
892,5871.6,E02002766,8561
893,6932.3,E02002766,8987
894,5385.9,E02002766,9074
895,6513.4,E02002766,10116
896,4320.4,E02002766,10172
897,9113.2,E02002766,10382
898,12630.8,E02002766,10504
899,4854.2,E02002766,10521
900,5152.1,E02002766,10707
901,7410.8,E02002766,11019
902,2955.2,E02002766,11121
903,10046.4,E02002766,11234
904,1170.1,E02002766,11442
905,6490.1,E02002766,12361
906,2509.7,E02002766,12420
907,5709.6,E02002766,12784
908,5444.6,E02002766,12837
909,3215.4,E02002766,13450
910,5438.1,E02002766,13659
911,12943.2,E02002766,14174
912,5680.6,E02002766,14210
913,12018.5,E02002766,14238
914,7069,E02002766,14973
915,12718.5,E02002766,15013
916,5803.2,E02002766,15645
917,5009.2,E02002766,15987
918,5828.1,E02002766,16223
919,1769.8,E02002766,18398
920,7289.1,E02002766,19454
921,5367.6,E02002766,20022
922,8628.9,E02002766,21054
923,2447.8,E02002767,350
924,3018.7,E02002767,369
925,3218.7,E02002767,2936
926,13841.7,E02002767,4149
927,4916.6,E02002767,4418
928,3240.6,E02002767,4834
929,14344.4,E02002767,5058
930,5836.5,E02002767,5276
931,5037.4,E02002767,5497
932,3241.2,E02002767,5500
933,1370.4,E02002767,5503
934,5104.4,E02002767,5504
935,2844.3,E02002767,5506
936,14468.6,E02002767,5513
937,2711.9,E02002767,5520
938,1758.5,E02002767,6366
939,2449.3,E02002767,6463
940,12235.6,E02002767,6504
941,6041.9,E02002767,6713
942,12962.9,E02002767,7902
943,5753.6,E02002767,7930
944,3020.3,E02002767,8385
945,5823.9,E02002767,8561
946,6884.7,E02002767,8987
